iter	Passed	Remaining
674	61122	119982
675	61214	119893
676	61308	119808
677	61401	119724
678	61489	119627
679	61568	119515
680	61647	119402
681	61733	119303
682	61817	119199
683	61896	119087
684	61979	118982
685	62062	118876
686	62152	118785
687	62235	118682
688	62317	118575
689	62409	118487
690	62493	118384
691	62578	118284
692	62663	118183
693	62755	118095
694	62838	117992
695	62922	117888
696	62999	117773
697	63079	117664
698	63163	117562
699	63249	117463
700	63334	117363
701	63426	117275
702	63515	117183
703	63599	117080
704	63686	116984
705	63772	116886
706	63853	116778
707	63943	116688
708	64026	116585
709	64109	116480
710	64190	116374
711	64283	116287
712	64368	116187
713	64453	116088
714	64537	115987
715	64625	115893
716	64717	115805
717	64806	115712
718	64891	115613
719	64982	115524
720	65068	115426
721	65155	115329
722	65241	115233
723	65329	115137
724	65419	115047
725	65507	114953
726	65582	114836
727	65676	114753
728	65764	114659
729	65853	114566
730	65939	114469
731	66025	114372
732	66114	114279
733	66203	114187
734	66298	114105
735	66383	114007
736	66473	113915
737	66556	113812
738	66642	113715
739	66720	113604
740	66810	113515
741	66899	113421
742	66985	113324
743	67072	113230
744	67158	113133
745	67244	113035
746	67332	112941
747	67431	112865
748	67513	112763
749	67605	112676
750	67689	112575
751	67778	112483
752	67870	112395
753	67958	112303
754	68046	112208
755	68135	112116
756	68220	112018
757	68308	111925
758	68418	111867
759	68502	111767
760	68589	111671
761	68675	111574
762	68756	111469
763	68836	111364
764	68923	111268
765	69011	111175
766	69092	111071
767	69185	110984
768	69275	110894
769	69354	110786
770	69447	110701
771	69535	110607
772	69617	110504
773	69705	110412
774	69790	110314
775	69869	110206
776	69956	110111
777	70046	110021
778	70130	109922
779	70213	109821
780	70298	109723
781	70382	109624
782	70473	109536
783	70566	109449
784	70652	109353
785	70741	109262
786	70837	109181
787	70923	109084
788	71013	108995
789	71105	108907
790	71185	108803
791	71276	108715
792	71360	108614
793	71447	108521
794	71535	108427
795	71621	108331
796	71704	108230
797	71787	108131
798	71864	108021
799	71947	107920
800	72031	107822
801	72120	107731
802	72204	107631
803	72296	107546
804	72387	107457
805	72470	107357
806	72565	107275
807	72653	107182
808	72732	107076
809	72822	106985
810	72906	106887
811	72988	106785
812	73075	106692
813	73168	106605
814	73244	106496
815	73334	106407
816	73428	106322
817	73514	106228
818	73605	106139
819	73691	106043
820	73769	105936
821	73854	105840
822	73937	105740
823	74020	105641
824	74110	105551
825	74198	105459
826	74288	105369
827	74379	105281
828	74467	105188
829	74550	105089
830	74635	104992
831	74727	104905
832	74807	104802
833	74893	104707
834	74975	104607
835	75061	104511
836	75146	104414
837	75236	104326
838	75321	104228
839	75408	104135
840	75495	104042
841	75578	103942
842	75661	103843
843	75748	103750
844	75833	103654
845	75919	103559
846	76003	103461
847	76084	103359
848	76171	103266
849	76267	103185
850	76345	103079
851	76434	102988
852	76519	102893
853	76599	102790
854	76688	102700
855	76779	102612
856	76864	102515
857	76955	102427
858	77044	102337
859	77124	102235
860	77217	102149
861	77305	102057
862	77389	101961
863	77474	101864
864	77561	101771
865	77645	101674
866	77732	101581
867	77822	101491
868	77904	101392
869	77994	101303
870	78079	101207
871	78158	101104
872	78245	101010
873	78336	100923
874	78430	100839
875	78512	100739
876	78603	100651
877	78689	100557
878	78782	100472
879	78870	100380
880	78953	100282
881	79040	100189
882	79122	100090
883	79203	99989
884	79288	99893
885	79376	99802
886	79457	99702
887	79550	99617
888	79633	99518
889	79716	99421
890	79803	99329
891	79890	99236
892	79975	99141
893	80069	99056
894	80154	98961
895	80243	98871
896	80329	98777
897	80413	98681
898	80494	98581
899	80580	98487
900	80670	98397
901	80751	98298
902	80835	98202
903	80921	98108
904	80997	98002
905	81085	97910
906	81170	97815
907	81254	97720
908	81350	97638
909	81451	97563
910	81537	97469
911	81630	97384
912	81715	97289
913	81797	97190
914	81881	97094
915	81974	97009
916	82066	96922
917	82159	96837
918	82249	96748
919	82335	96655
920	82424	96564
921	82514	96476
922	82600	96382
923	82688	96291
924	82777	96200
925	82863	96107
926	82948	96012
927	83034	95918
928	83117	95821
929	83203	95728
930	83294	95640
931	83378	95545
932	83458	95445
933	83540	95347
934	83623	95250
935	83706	95153
936	83788	95055
937	83875	94964
938	83960	94869
939	84053	94783
940	84137	94688
941	84223	94595
942	84313	94506
943	84403	94417
944	84485	94319
945	84578	94234
946	84657	94133
947	84742	94038
948	84825	93942
949	84916	93855
950	85003	93763
951	85090	93671
952	85178	93579
953	85263	93485
954	85356	93400
955	85436	93300
956	85521	93206
957	85611	93118
958	85690	93017
959	85776	92924
960	85867	92837
961	85952	92743
962	86044	92656
963	86135	92568
964	86217	92471
965	86308	92384
966	86392	92288
967	86475	92193
968	86563	92102
969	86656	92017
970	86739	91920
971	86823	91825
972	86914	91738
973	86999	91643
974	87090	91556
975	87177	91464
976	87265	91374
977	87357	91287
978	87446	91198
979	87530	91102
980	87618	91012
981	87704	90919
982	87781	90817
983	87870	90727
984	87952	90631
985	88033	90533
986	88120	90442
987	88209	90352
988	88301	90265
989	88388	90173
990	88468	90075
991	88556	89984
992	88642	89892
993	88727	89798
994	88814	89707
995	88902	89616
996	88986	89522
997	89072	89429
998	89165	89343
999	89260	89260
1000	89343	89165
1001	89431	89074
1002	89519	88984
1003	89605	88891
1004	89693	88801
1005	89778	88708
1006	89858	88609
1007	89944	88516
1008	90026	88420
1009	90111	88327
1010	90198	88235
1011	90303	88162
1012	90385	88065
1013	90477	87979
1014	90560	87884
1015	90646	87791
1016	90734	87700
1017	90813	87601
1018	90899	87509
1019	90990	87421
1020	91078	87331
1021	91163	87238
1022	91252	87149
1023	91344	87062
1024	91433	86973
1025	91516	86878
1026	91595	86779
1027	91682	86688
1028	91764	86592
1029	91847	86497
1030	91933	86405
1031	92016	86310
1032	92104	86219
1033	92189	86127
1034	92287	86045
1035	92376	85956
1036	92462	85864
1037	92543	85767
1038	92626	85672
1039	92706	85575
1040	92796	85486
1041	92881	85393
1042	92962	85297
1043	93049	85206
1044	93135	85114
1045	93219	85020
1046	93309	84931
1047	93391	84836
1048	93479	84746
1049	93567	84656
1050	93656	84567
1051	93738	84471
1052	93823	84378
1053	93916	84292
1054	93999	84198
1055	94086	84107
1056	94171	84014
1057	94255	83921
1058	94347	83834
1059	94433	83743
1060	94521	83653
1061	94608	83561
1062	94691	83467
1063	94774	83373
1064	94862	83282
1065	94957	83198
1066	95037	83102
1067	95123	83010
1068	95210	82919
1069	95302	82832
1070	95387	82740
1071	95482	82656
1072	95569	82565
1073	95659	82477
1074	95748	82387
1075	95838	82300
1076	95923	82207
1077	96009	82116
1078	96092	82021
1079	96178	81929
1080	96262	81836
1081	96347	81744
1082	96436	81655
1083	96539	81577
1084	96622	81483
1085	96713	81396
1086	96797	81302
1087	96885	81212
1088	96967	81117
1089	97048	81021
1090	97131	80927
1091	97218	80837
1092	97297	80739
1093	97373	80640
1094	97454	80544
1095	97541	80454
1096	97620	80357
1097	97714	80271
1098	97792	80174
1099	97876	80080
1100	97957	79985
1101	98037	79889
1102	98119	79794
1103	98204	79702
1104	98285	79607
1105	98375	79518
1106	98459	79425
1107	98543	79332
1108	98624	79237
1109	98710	79146
1110	98793	79052
